id,name,sets,reps,description,link,body_part
ch-5,Incilne Bench Press,4,10,Oops! The description for this exercise hasn't been inputed yet. Check back soon and it should be updated!,dtNXLavPFo0,chest
trap-1,Shrugs,3,15,Oops! The description for this exercise hasn't been inputed yet. Check back soon and it should be updated!,IV0XGIf8y6k,traps
ch-6,Dumbbell Flys,3,12,Oops! The description for this exercise hasn't been inputed yet. Check back soon and it should be updated!,eozdVDA78K0,chest
sh-2,Arnold Press,4,10,Oops! The description for this exercise hasn't been inputed yet. Check back soon and it should be updated!,vj2w851ZHRM,shoulders
ba-4,IYT's,3,6,Oops! The description for this exercise hasn't been inputed yet. Check back soon and it should be updated!,NpEaa2P7qZI,back
a-6,Ab Roller,3,12,Oops! The description for this exercise hasn't been inputed yet. Check back soon and it should be updated!,DnuK8HLoP0k,abs
a-7,Med Ball Twists,3,20,Oops! The description for this exercise hasn't been inputed yet. Check back soon and it should be updated!,hRIdAjDs08Q,abs
a-8,Weighted Decline Sit Up,3,15,Oops! The description for this exercise hasn't been inputed yet. Check back soon and it should be updated!,"<iframe width=""640"" height=""360"" src=""https://www.youtube.com/embed/QhGU5cmNZds"" frameborder=""0"" allowfullscreen></iframe>",abs
unk-3,Banded Kettle Ball Swings,3,15,Oops! The description for this exercise hasn't been inputed yet. Check back soon and it should be updated!,"<iframe width=""640"" height=""360"" src=""https://www.youtube.com/embed/PN9dppWJcGQ"" frameborder=""0"" allowfullscreen></iframe>",
leg-5,Sumo deaad Lifts,4,10,Oops! The description for this exercise hasn't been inputed yet. Check back soon and it should be updated!,"<iframe width=""640"" height=""360"" src=""https://www.youtube.com/embed/YUrXRgNjSmw"" frameborder=""0"" allowfullscreen></iframe>",legs
leg-6,Squats,4,10,Oops! The description for this exercise hasn't been inputed yet. Check back soon and it should be updated!,"<iframe width=""640"" height=""360"" src=""https://www.youtube.com/embed/UXJrBgI2RxA"" frameborder=""0"" allowfullscreen></iframe>",legs
leg-7,Over Head Lunges,3,10,Oops! The description for this exercise hasn't been inputed yet. Check back soon and it should be updated!,"<iframe width=""640"" height=""360"" src=""https://www.youtube.com/embed/t1gebhg4Pv8"" frameborder=""0"" allowfullscreen></iframe>",legs
leg-8,Hack Squats,3,10,Oops! The description for this exercise hasn't been inputed yet. Check back soon and it should be updated!,"<iframe width=""640"" height=""360"" src=""https://www.youtube.com/embed/0tn5K9NlCfo"" frameborder=""0"" allowfullscreen></iframe>",legs
leg-9,Leg Extensions,3,15,Oops! The description for this exercise hasn't been inputed yet. Check back soon and it should be updated!,"<iframe width=""640"" height=""360"" src=""https://www.youtube.com/embed/WmtNHBFYNSc"" frameborder=""0"" allowfullscreen></iframe>",legs
leg-10,Single Leg Romanian Dead Lifts,3,12,Oops! The description for this exercise hasn't been inputed yet. Check back soon and it should be updated!,"<iframe width=""640"" height=""360"" src=""https://www.youtube.com/embed/WAMBVWe65Qo"" frameborder=""0"" allowfullscreen></iframe>",legs
leg-11,Calve Raise,3,15,Oops! The description for this exercise hasn't been inputed yet. Check back soon and it should be updated!,"<iframe width=""640"" height=""360"" src=""https://www.youtube.com/embed/-M4-G8p8fmc"" frameborder=""0"" allowfullscreen></iframe>",legs
"def-1
",Default Exercise,1,1,Default,"<iframe width=""640"" height=""360"" src=""https://www.youtube.com/embed/NpEaa2P7qZI"" frameborder=""0"" allowfullscreen></iframe>",
